placement,local_bsz,step_time,sync_time,frozen_layer
1,48,0.6033314037322998,0.002162831366062164,27
1,48,0.5843274545669556,0.0020284415960311886,36
1,48,0.5667073631286621,0.001957232627868652,45
1,48,0.5326549863815307,0.0014622310376167296,54
1,48,0.5218713665008545,0.0017104896020889281,63
1,48,0.5041544008255004,0.0018299494409561154,72
1,48,0.4876094818115234,0.0013965977549552915,81
1,64,1.0493317651748657,0.0010348748779296878,0
1,64,0.8690891981124877,0.0016013107180595397,9
1,64,0.7932067918777466,0.002490593285560608,18
1,64,0.7641790485382081,0.0020302438426017767,27
1,64,0.7297528839111328,0.0021896192169189458,36
1,64,0.7062478017807007,0.0018044928002357479,45
1,64,0.6695618486404419,0.002197032971382141,54
1,64,0.6404623317718506,0.0019142860794067384,63
1,64,0.6130770635604859,0.001591009268760681,72
1,64,0.5942768001556397,0.0014598976039886472,81
11,4,0.2032434606552124,0.012206448702812196,0
11,4,0.12045458316802979,0.005757788157463074,9
11,4,0.12078541278839111,0.012563148775100712,18
11,4,0.11658913135528565,0.012087132196426391,27
11,4,0.10913903713226318,0.0105134489440918,36
11,4,0.10685876369476319,0.009694310417175294,45
11,4,0.10548580169677735,0.015079403505325313,54
11,4,0.10346189975738525,0.01881837566375732,63
11,4,0.10373071193695069,0.0248989489364624,72
11,4,0.10321702003479004,0.026754398231506354,81
11,8,0.1926000928878784,0.002162073583602905,0
11,8,0.16989027976989746,0.0024219647955894476,9
11,8,0.16554136753082274,0.009080401897430418,18
11,8,0.15633683681488036,0.008336650238037112,27
11,8,0.15457722663879395,0.010158407707214354,36
11,8,0.1472103214263916,0.009420165119171143,45
11,8,0.13993000030517577,0.009636618261337281,54
11,8,0.13922311782836913,0.01475688451766968,63
11,8,0.13568775177001954,0.0172412313079834,72
11,8,0.13522867679595948,0.023861078491210937,81
11,16,0.33893686294555664,0.0028187033772468567,0
11,16,0.26892260074615476,0.00342642686843872,9
11,16,0.24727467060089112,0.00975747072219849,18
11,16,0.23772095680236816,0.009671188449859617,27
11,16,0.22876676559448242,0.009497968692779541,36
11,16,0.2234907865524292,0.01200285700798035,45
11,16,0.2127555465698242,0.013816442804336547,54
11,16,0.2070746660232544,0.015918632984161372,63
11,16,0.20081816196441651,0.016840908794403073,72
11,16,0.1944718074798584,0.022029123859405506,81
11,24,0.5607147073745727,0.005860392999649046,0
11,24,0.38230870723724364,0.004552867875099179,9
11,24,0.35949120998382567,0.010855116825103761,18
11,24,0.3453686332702637,0.014479626379013061,27
11,24,0.3278485679626465,0.009760686140060426,36
11,24,0.3193367099761963,0.01347563508033753,45
11,24,0.29789082527160643,0.00905478143692017,54
11,24,0.2921463966369629,0.018953134040832514,63
11,24,0.2807371473312378,0.017250426998138425,72
11,24,0.28041304111480714,0.024874093265533435,81
11,32,0.6000170421600342,0.00774244355916977,0
11,32,0.47659669399261473,0.006870896694660187,9
11,32,0.4414645099639893,0.012316282863616945,18
11,32,0.4273553466796875,0.010033438653945924,27
11,32,0.4116347646713257,0.014842408847808837,36
